tipo,contenido
Deporte,"Fútbol mundial2019-09-27
▷ [VER AQUÍ], Barcelona vs. Getafe vía ESPN 2: cómo seguir ONLINE el duelo por LaLiga SantanderBarcelona y Getafe se enfrentan en el coliseum Alfonso Pérez, este sábado 28 de septiembre desde las 09:00 horas (Perú), por la fecha 7 de la lig...Fútbol mundial
Redacción EC"
Deporte,"Fútbol mundial2019-09-27
Atlas FC venció 2-0 a los Gallos de Querétaro por el Torneo Apertura de la Liga MX 2019 Atlas, con gol de Facundo Barceló y un autogol de Alexis Pérez, ganó y sumó tres importantes puntos por la jornada 12 de Liga MX Apertura 2019 en...Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
DirecTV EN VIVO | Real Madrid vs. Atlético de Madrid por LaLiga Santander: seguir EN DIRECTO el derbi madrileño VER DIRECTV EN VIVO | VER DIRECTV GRATIS | MIRA AQUÍ, Real Madrid vs. Atlético de Madrid |  Real y Atlético chocan en un verdadero partidazo, est...Fútbol mundial
Redacción EC"
Deporte,"Negocios2019-09-27
Fútbol peruano: ¿Qué beneficios obtienen los clubes que invierten en sus divisiones menores?La mejor opción para un club siempre va a ser invertir en sus divisiones menores. Al hacerlo, se genera un círculo virtuoso, indica Renato Ricci,...Negocios
Franco Balza Tassara Cánepa"
Deporte,"Selección2019-09-27
Selección Peruana: Ricardo Gareca agradeció a quienes votaron por él en los premios The BestEl entrenador argentino se mostró complacido por haber estado nominado por la FIFA para los premios The BestSelección
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
[VER Fox Sports 2 EN VIVO] Boca Juniors vs. Newell’s EN DIRECTO TV ONLINE: juegan en La Bombonera por la Superliga ArgentinaBoca Juniors vs. Newell’s: jugarán este sábado (6:00 p.m. EN VIVO ONLINE vía Fox Sports 2) en La Bombonera, por la fecha 8 de la Superliga Argent...Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Atlas FC vs. Gallos de Querétaro EN VIVO: Barceló anotó el 2-0 rojinegro con este cabezazo letal - VIDEOEl delantero uruguayo aprovechó un preciso centro de Mauricio Cuero para estirar diferencias a favor de Atlas en el cotejo ante los GallosFútbol mundial
"
Deporte,"Fútbol mundial2019-09-27
[VER] Cruz Azul vs. Pachuca EN VIVO y EN DIRECTO vía TUDN: juegan por la fecha 12 del Apertura 2019 de la Liga MXCruz Azul vs. Pachuca EN VIVO ONLINE | sigue el partido por fecha 12 del Torneo Apertura de Liga MX en elEstadio HidalgoFútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
[VER ESPN 2 EN VIVO] Manchester City vs. Everton EN DIRECTO TV ONLINE: juegan por la fecha 7 de la Premier League en Goodison ParkManchester City vs. Everton EN VIVO ONLINE | Sigue el partido por fecha 7 de la Premier League en Goodison ParkFútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Atlas FC  vs. Gallos de Querétaro EN VIVO: el autogol de Alexis Pérez para el 1-0 rojinegro - VIDEOEl paraguayo Osvaldo Martínez envió un centro al área visitante y el balón fue interceptado por el defensor que introdujo el balón en propia puer...Fútbol mundial
"
Deporte,"Fútbol peruano2019-09-27
Sporting Cristal vs. UTC EN VIVO ONLINE vía GOLPERU: juegan por el Torneo Clausura de la Liga 1 desde Cajamarca | EN DIRECTOSporting Cristal vs. UTC juegan EN VIVO DIRECTO ONLINE este sábado por la Liga 1 Torneo Clausura desde el estadio Héroes San Ramón de Cajamarca y...Fútbol peruano
Redacción DT"
Deporte,"Deporte Total2019-09-27
Lanús igualó de visita 1-1 ante Patronato por la Superliga Argentina 2019Lanús no pudo sumar de a tres ante un complicado equipo de Patronato por la fecha 8 de la Superliga Argentina en el estadio Presbítero Bartolomé ...Deporte Total
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Barcelona vs. Guayaquil City EN VIVO y EN DIRECTO vía Gol TV: juegan por la fecha 27 de la Serie A de Ecuador Barcelona vs. Guayaquil City EN VIVO ONLINE | Sigue el duelo por la fecha 27 de la Serie A de Ecuador desde el estadio Christian BenítezFútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Puebla de Juan Reynoso venció 2-1 a León por la jornada 12 del Apertura 2019 de la Liga MXCon goles de Marrugo y Acosta, Puebla derrotó a León por la jornada 12 del Apertura 2019 de la Liga MX en el estadio CuauhtémocFútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Monterrey vs. Tigres EN VIVO y EN DIRECTO vía Fox Sports: ‘Clásico Regiomontano’ por la fecha 12 del Apertura 2019 de la Liga MXMonterrey vs. Tigres EN VIVO ONLINE | Sigue el duelo por la fecha 12 del Apertura 2019 de la Liga MX desde el estadio BBVAFútbol mundial
"
Deporte,"Fútbol mundial2019-09-27
Joao Félix: “Quiero disfrutar al máximo del derbi de Madrid”Atlético de Madrid buscará el liderato de LaLiga Satander frente a su rival de la ciudad, el Real MadridFútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Lanús vs. Patronato EN VIVO: Lautaro Acosta anotó el 1-1 para los granates con este remate por la Superliga Argentina - VIDEOApenas al minuto de iniciado el complemento, el artillero de Lanús se encargó de igualar el juego. Lautaro Acosta definió con sutileza ante la sa...Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
River Plate vs. Gimnasia EN VIVO ONLINE vía Fox Sports 2: juegan por la fecha 08 de la Superliga Argentina en La PlataRiver Plate vs. Gimnasia EN VIVO ONLINE | Sigue el duelo por la fecha 8 de la Superliga Argentina desde el estadio Juan Carmelo Zerillo de La Pla...Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
[VER AQUÍ] Necaxa vs. Juárez EN VIVO ONLINE vía TUDN: juegan por la fecha 12 del Apertura 2019 de la Liga MXNecaxa vs. Juárez EN VIVO ONLINE | Sigue el duelo por la fecha 12 del Apertura 2019 de la Liga MX desde el estadio VictoriaFútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Lanús vs. Patronato EN VIVO: Díaz anotó el 1-0 en contra del Granate por la Superliga ArgentinaGabriel Adrián Diáz se encargó de abrir el marcador a favor de Patronato en los primeros minutos de juego, tras un balón paradoFútbol mundial
Redacción DT"
Deporte,"Deporte Total2019-09-27
Universitario vs. Alianza Lima: el frente a frente de los compadres a días del clásicoEste domingo en el Monumental, Universitario y Alianza Lima protagonizarán una edición más del clásico peruano. Aquí la comparación entre los dos...Deporte Total
Kenyi Peña Andrade"
Deporte,"Deporte Total2019-09-27
Universitario vs. Alianza Lima: ocho anécdotas imperdibles del clásico para recordarLos clásicos entre Universitario de Deportes y Alianza Lima tienen historias dentro y fuera de las canchas. Este domingo (4 p.m.) los compadres s...Deporte Total
Kenyi Peña Andrade"
Deporte,"Fútbol peruano2019-09-27
Universitario vs. Alianza: ¿Cómo terminaron los clásicos en el Monumental?Este domingo se disputará una edición más del clásico peruano en el estadio Monumental de Ate. Sepa quién tiene ventaja en la casa de los merengu...Fútbol peruano
Marco Quilca León"
Deporte,"Deporte Total2019-09-27
Universitario vs. Alianza Lima: ocho personajes que hicieron historia en el clásico del fútbol peruano Este domingo (4 p.m.), en el estadio Monumental, Universitario y Alianza Lima se enfrentan en una edición más del clásico del fútbol peruano. A c...Deporte Total
Redacción DT"
Deporte,"Challenge2019-09-27
Entel Challenge Conquista tu tiempo: aquí los ganadores del cuarto desafío del añoRevisa la lista y entérate si eres uno de los ganadores del Entel Challenge Conquista tu Tiempo.Challenge
"
Deporte,"Fútbol mundial2019-09-27
Llanto, abrazos y cánticos: hinchada de Colón vivió un día soñado tras clasificar a la final de la Copa Sudamericana | VIDEOColón de Santa Fe clasificó a la final de la Copa Sudamericana tras dejar en el camino al Atlético Mineiro. En dicha instancia enfrentarán, en pa...Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Hinchas del Roda de Holanda echaron del estadio a empresario mexicano que no cumplió como dirigente | VIDEOMauricio García de la Vega, empresario mexicano, fue echado del estadio por los hinchas del Roda de Holanda tras no cumplir con una promesa dirig...Fútbol mundial
Redacción DT"
Deporte,"Fútbol peruano2019-09-27
Sport Boys cayó 4-0 ante Garcilaso en el Cusco con hat-trick de Danilo Carando por el Clausura 2019 Liga 1 | VIDEOCon un tres goles de Danilo Carando (24′, 54′ y 76′) y uno de Cristian Souza (71′), Sport Boys cayó estrepitosamente en Cusco ante Real Garcilaso...Fútbol peruano
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Borussia Dortmund vs. Werder Bremen EN VIVO vía Fox Sports 2: con Claudio Pizarro, por la Bundesliga 2019-2020Borussia Dortmund vs. Werder Bremen: se enfrentarán este sábado (11:30 a.m. EN VIVO ONLINE vía Fox Sports 2) en el Signal Iduna Park, por la fech...Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
El papa Francisco saludó al Club América por su aniversario“Quiero decirles también que rezo por la unidad del pueblo mexicano, para que la amada Virgen de Guadalupe los siga cubriendo con su manto”, afir...Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
[Derbi madrileño] Real Madrid vs. Atlético de Madrid EN VIVO vía DirecTV Sports: por la fecha 7 de LaLiga SantanderReal Madrid vs. Atlético de Madrid: jugarán este sábado (2:00 p.m. EN VIVO ONLINE vía DirecTV Sports) en el Estadio Wanda Metropolitano, por la f...Fútbol mundial
Redacción DT"
Deporte,"Selección2019-09-27
Problemas para Universitario y Sporting Cristal: ambos clubes se enfrentarán en plena fecha FIFA y deberán ceder varios jugadoresEntre la selección peruana mayor y la Sub 23, han citado 13 jugadores de Universitario de Deportes y Sporting Cristal, equipos que se enfrentarán...Selección
Redacción DT"
Deporte,"Selección2019-09-27
Perú vs. Uruguay: ¿qué dijo la prensa charrúa sobre la convocatoria de Ricardo Gareca? Los medios resaltaron la convocatoria del uruguayo nacionalizado peruano Gabriel Costa para los próximos amistosos de octubre por la fecha FIFASelección
Redacción DT"
Deporte,"Selección2019-09-27
Paolo Guerrero vuelve a la selección peruana: así informó la prensa brasileña la convocatoria del atacanteLa convocatoria de Paolo Guerrero a la selección peruana tuvo repercusión en los medios brasileños, los cuales resaltaron que el delantero se per...Selección
Redacción DT"
Deporte,"Selección2019-09-27
Selección peruana Sub 23: Kevin Quevedo fue convocado para los amistosos contra Colombia con miras al PreolímpicoEste viernes se anunció la lista de 26 convocados a la selección peruana Sub 23, que enfrentará a Colombia en el próximo periodo FIFA. Kevin Quev...Selección
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
[VER] Barcelona vs. Getafe EN VIVO y EN DIRECTO vía ESPN 2: con Griezmann por la fecha 7° de la Liga española | ONLINEBarcelona vs. Getafe EN VIVO | ONLINE | Sigue el partido de este sábado 28 de septiembre (9:00 am. VER EN DIRECTO vía ESPN 2) en el Coliseum Alfo...Fútbol mundial
Redacción DT"
Deporte,"Polideportivo2019-09-27
John Morrison habría vuelto a la WWE aunque aun se desconocen los términos de su nuevo contratoEl ex campeón de la ECW regresaría a la WWE después de su paso por la escena independiente y empresas como Impact Wrestling o Lucha Libre AAA de ...Polideportivo
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
[VER] América vs. Chivas EN VIVO vía TUDN, Canal 5, Univisión: clásico en el Azteca por la fecha 12° del Apertura 2019 Liga MXAmérica vs. Chivas EN VIVO | ONLINE | Sigue el partido de este sábado 28 de septiembre (9:05 pm. VER EN DIRECTO vía TUDN / Canal 5 / Univisión) e...Fútbol mundial
Redacción DT"
Deporte,"Fútbol peruano2019-09-27
Fondo Blanquiazul se convirtió en el presidente de la junta de acreedores de Alianza LimaEl fondo privado informó que la decisión fue adoptada""por voto mayoritario"" este viernes y responde a la cancelación de la deuda concursal corres...Fútbol peruano
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
[VER AQUÍ] América vs. Chivas EN VIVO vía TUDN: sigue EN DIRECTO el clásico de la Liga MXEN VIVO por TUDN y Canal 5 | América vs. Chivas, se enfrentan en una nueva edición del vibrante clásico de México por la fecha 12. Revisa aquí co...Fútbol mundial
Redacción EC"
Deporte,"Deporte Total2019-09-27
[VER] PSG vs. Burdeos EN VIVO y EN DIRECTO vía ESPN: con Neymar y Mbappé por la Ligue 1 | ONLINEPSG vs. Burdeos EN VIVO ONLINE | Sigue el partido de este sábado (10:30 am. VER EN DIRECTO vía ESPN) en el estadio Matmut Atlantique por la fecha...Deporte Total
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
La última genialidad de Ibrahimovic: la acrobacia del sueco a la que llamó ‘Matrix Challenge’ | VIDEOZlatan Ibrahimovic no deja de sorprender a sus seguidores y esta vez publicó en Instagram un video en el que realiza un movimiento similar al de ...Fútbol mundial
Redacción DT"
Deporte,"Deporte Total2019-09-27
Juventus vs. SPAL EN VIVO vía ESPN: con Cristiano Ronaldo por la Serie A | ONLINE y EN DIRECTOJuventus vs. SPAL EN VIVO ONLINE | Sigue el partido de este sábado 28 de septiembre (8:00 am. VER EN DIRECTO vía ESPN) en el Allianz Stadium por ...Deporte Total
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
[VER] Bayern Múnich vs. Padeborn EN VIVO y ONLINE vía Fox Sports: por fecha 6° de la Bundesliga | ONLINEBayern Múnich vs. Padeborn EN VIVO ONLINE | Sigue el partido de este sábado 28 de septiembre (8:30 am. VER EN DIRECTO vía FOX Sports) en el Bente...Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
América vs. Chivas: la estadística favorable que acompaña a Luis Fernando Tena, técnico del ‘Rebaño Sagrado’El clásico nacional de México tendrá a Luis Fernando Tena debutando como entrenador de las Chivas de Guadalajara, club que hace unos días despidi...Fútbol mundial
Redacción DT"
Deporte,"Selección2019-09-27
Con Guerrero: los convocados para jugar ante UruguayPara los amistosos frente a los charrúas en octubre, Ricardo Gareca decidió citar a Paolo Guerrero y Armando Alfageme, quienes son las dos noveda...Selección
Redacción DT"
Deporte,"Deporte Total2019-09-27
[ONLINE] Errol Spence Jr. vs. Shawn Porter EN VIVO vía ESPN Knockout y Fox Action Premium: pelea de boxeo por la unificación de los cinturones CM...Errol Spence Jr. vs. Shawn Porter EN VIVO ONLINE | Se miden este sábado 28 de septiembre (9:00 pm. VER EN DIRECTO vía FOX Action Premium) en el S...Deporte Total
Redacción DT"
Deporte,"Deporte Total2019-09-27
Fórmula 1: Lima, el nuevo coche y las nuevas reglas para el 2021La Fórmula 1 definirá a fines de octubre su nuevo reglamento para la temporada 2021 y para ello está probando el nuevo monoplaza Lima, que tiene ...Deporte Total
Redacción DT"
Deporte,"Deporte Total2019-09-27
Selección peruana: Ricardo Gareca convocó a Armando Alfageme para los duelos amistosos ante UruguayEl mediocampista de Universitario de Deportes figura en la lista de los 23 convocados para los duelos que sostendrá Perú ante Uruguay en octubreDeporte Total
Redacción DT"
Deporte,"Deporte Total2019-09-27
Selección peruana: Ricardo Gareca convocó a Paolo Guerrero para los partidos ante UruguayRicardo Gareca explicó la razón por la que volvió a convocar a Paolo Guerrero. El ‘Depredador’ fue incluido en la lista de 23 convocados para los...Deporte Total
Redacción DT"
Deporte,"Deporte Total2019-09-27
Selección Peruana: Raúl Ruidíaz no fue convocado para enfrentar a Uruguay en octubreEl delantero Raúl Ruidíaz no fue convocado para los duelos amistosos que sostendrá la selección peruana en octubre ante Uruguay.Deporte Total
Redacción DT"
Deporte,"Deporte Total2019-09-27
Atlético vs. Real Madrid: Joao Félix vs. Vinícius Júnior, el derbi joven de la capital españolaNominados al Golden Boy 2019, el portugués Joao Félix y el brasileño Vinícius Júnior son presente y futuro del Atlético de Madrid y del Real Madr...Deporte Total
Redacción DT"
Deporte,"Polideportivo2019-09-27
Man Bok Park, el maestro que unió al Perú | OPINIÓN“Terminó por romper el mito de que el vóley era solo para amas de casa y lo convirtió en patrimonio de los peruanos”Polideportivo
Redacción DT"
Deporte,"Firmas2019-09-27
El Man Bok Park que yo conocí en 1988, por Mario Fernández“Han pasado 31 años de haber perdido en forma increíble una final olímpica de vóley en Seúl 88 ante la Unión Soviética y me parece que ha sido ay...Firmas
Mario Fernández"
Deporte,"Fútbol mundial2019-09-27
Monterrey vs. Tigres EN VIVO | Clásico Regiomontano por la fecha 12 de la Liga MX desde el BBVA Bancomer | vía Fox Sports 2Fútbol mundial
Redacción EC"
Deporte,"Deporte Total2019-09-27
Real Madrid vs. Atlético de Madrid: Álvaro Morata fue sancionado y se perderá el derbi del sábadoEl Comité de Competición de la Real Federación Española de Fútbol desestimó el recurso de Atlético de Madrid tras la expulsión de Álvaro Morata e...Deporte Total
Redacción DT"
Deporte,"Deporte Total2019-09-27
“Todo el mundo espera mucho más de Eden Hazard”, afirmó Zidane en la previa del Real Madrid vs. Atlético de MadridEn vísperas del Real Madrid vs. Atlético de Madrid, el técnico Zinedine Zidane se refirió a la estrella belga y se mostró confiado en que “va a r...Deporte Total
Redacción DT"
Deporte,"Deporte Total2019-09-27
Joel Alarcón, el elegido para arbitrar el clásico“Con sentido común, la Conar ha descartado para el partido de los partidos de nuestro fútbol a Víctor Hugo Carrillo y a Diego Haro. Ambos, con ju...Deporte Total
Ricardo Montoya"
Deporte,"Deporte Total2019-09-27
Paolo Guerrero: árbitro detalló en su informe todos los insultos del delantero peruano contra la ternaDe acuerdo al acta arbitral, Paolo Guerrero lanzó insultos en inglés contra los jueces del choque entre Internacional y Flamengo por el Brasileir...Deporte Total
Redacción DT"
Deporte,"Historias2019-09-27
Man Bok Park y la noble disciplina con que educaba a sus chicas 20 años después de Seúl En 2008, El Comercio preparó un homenaje para el entrenador de la selección peruana de vóley que consiguió la medalla de plata en Seúl 88 y las c...Historias
Miguel Villegas"
Deporte,"Deporte Total2019-09-27
Paolo Guerrero: los doce errores que marcaron la carrera del goleador | VIDEOEl capitán de la selección peruana, Paolo Guerrero, ha vuelto a estar en el ojo de la tormenta luego de ser expulsado en el duelo que Internacion...Deporte Total
Kenyi Peña Andrade"
Deporte,"Deporte Total2019-09-27
Man Bok Park, el hombre que voló por encima de la net en el vóley peruanoEl mejor entrenador del vóley peruano Man Bok Park falleció a los 83 años. En tres décadas de trabajo, el surcoreano nos dio medallas, reconocimi...Deporte Total
Christian Cruz Valdivia"
Deporte,"Deporte Total2019-09-27
Man Bok Park: las divertidas anécdotas que protagonizó junto a Natalia Málaga y Cecilia TaitEl extécnico de la selección peruana de vóley Man Bok Park, quien logró la presea de plata en Seúl 88 y fue líder de nuestro deporte de la net al...Deporte Total
"
Deporte,"Deporte Total2019-09-27
Natalia Málaga se despidió de Man Bok Park: su conmovedor mensaje en Facebook dedicado al exentrenador de la selección de vóleyLa exvoleibolista Natalia Málaga publicó un profundo mensaje por el fallecimiento de Man Bok Park. “Te voy a extrañar cada vez que entre a una ca...Deporte Total
Redacción DT"
Deporte,"Polideportivo2019-09-27
Man Bok Park: medallistas olímpicas se quebraron en velorio de su ex entrenadorEx seleccionadas que fueron dirigidas por Man Bok Park asistieron al velorio del que consideraron su padre deportivo. Algunas no aguantaron el do...Polideportivo
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Toluca derrotó 3-1 a Atlético San Luis por el Torneo Apertura 2019 de la Liga MXLos 'Diablos Rojos’ dominaron el duelo de principio a fin. Atlético San solo pudo descontar con el tiempo cumplido en el Estadio Nemesio Díez Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Millonarios se impuso 2-1 ante Alianza Petrolera por la Liga Águila 2019Con golazos de Pérez y Rambal, Millonarios se quedó con los tres puntos por fecha 13 de la Liga Águila en el Estadio Nemesio Camacho El Campín Fútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Independiente venció 1-0 a Defensa y Justicia y avanzó a los cuartos de final de la Copa ArgentinaPese a no jugar un gran partido, los rojos lograron imponerse por la mínima diferencia en el Estadio Centenario Dr. José Luis MeisznerFútbol mundial
Redacción DT"
Deporte,"Fútbol mundial2019-09-27
Colón Santa Fe vs. Atlético Mineiro: Di Santo anotó el 1-0 con golazo de pierna izquierda por Copa Sudamericana  | VIDEOAntes de finalizar la primera parte, el delantero argentino aprovechó  la asistencia de Luan para abrir el marcador ante el cuadro santafesinoFútbol mundial
Redacción DT"
Deporte,"Polideportivo2019-09-27
Man Bok Park y todas las medallas que dejó en su paso por la selección peruana de voleibol Este jueves 26 de setiembre, Man Bok Park dejó de existir y el Perú entero llora su partida. Difícilmente pueda alguien lograr lo que el ‘Mister’...Polideportivo
"
